id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_maxima,fecha_demanda_maxima,promedio_diario_horas
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2024,9,22.843,8.996,60.0,miércoles,2024 Sep 25 06:45:00 PM,24.0
52,NARIÑO,52696,SANTA BÁRBARA,52696014,LA ENSENADA (SANTA BÁRBARA - NARIÑO),2024,9,3.193,1.294,60.0,sábado,2024 Sep 14 06:45:00 PM,24.0
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUIZAMO - PUTUMAYO),2024,9,2.634,1.652,60.0,sábado,2024 Sep 14 08:00:00 PM,24.0
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573000,PUERTO LEGUIZAMO (PUERTO LEGUIZAMO - PUTUMAYO),2024,9,915.606,239.217,60.0,martes,2024 Sep 03 07:00:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109930,GALVEZ (BUENAVENTURA - VALLE DEL CAUCA),2024,9,3.459,686.0,60.0,lunes,2024 Sep 16 05:45:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109957,HUMANES MAR (BUENAVENTURA - VALLE DEL CAUCA),2024,9,6.127,1.579,60.0,domingo,2024 Sep 29 10:45:00 AM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109069,PAPAYAL 1 (BUENAVENTURA - VALLE DEL CAUCA),2024,9,7.556,1.352,60.0,miércoles,2024 Sep 04 06:45:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2024,9,94.103,31.62,60.0,viernes,2024 Sep 27 08:15:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109081,PUNTA BONITA (BUENAVENTURA - VALLE DEL CAUCA),2024,9,4.349,3.881,60.0,domingo,2024 Sep 01 07:00:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2024,9,8.142,3.367,60.0,lunes,2024 Sep 02 11:30:00 AM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109034,SAN ISIDRO - CALIMA (BUENAVENTURA - VALLE DEL CAUCA),2024,9,2.919,492.0,60.0,jueves,2024 Sep 05 07:15:00 PM,24.0
97,VAUPÉS,97161,CARURÚ,97161000,CARURÚ (CARURÚ - VAUPÉS),2024,9,35.746,8.582,60.0,martes,2024 Sep 24 06:30:00 PM,24.0
97,VAUPÉS,97001,MITÚ,97001000,MITÚ (MITÚ - VAUPÉS),2024,9,10.326,385.301,60.0,martes,2024 Sep 24 01:00:00 PM,24.0
97,VAUPÉS,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2024,9,45.482,12.302,60.0,lunes,2024 Sep 16 12:30:00 PM,24.0
99,VICHADA,99001,PUERTO CARREÑO,99001000,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2024,9,10.326,703.817,60.0,jueves,2024 Sep 12 01:45:00 PM,24.0
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2024,9,10.326,8.475,60.0,viernes,2024 Sep 20 02:30:00 PM,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2024,10,143.343,47.284,296.0,jueves,2024 Oct 17 06:15:00 PM,24.0
